i,Lambda,kappa,pres_init,,
0,300.00,0.1,1.5,,
1,300.00,0.12,1.5,,
2,300.00,0.14,1.5,,found using 12 modes
3,300.00,0.17,1.5,,
4,300.00,0.19,1.5,,
5,300.00,0.21,1.5,,
6,300.00,0.23,1.5,,
7,300.00,0.26,1.5,,
8,300.00,0.28,1.5,,
9,300.00,0.3,1.5,,
10,310.53,0.1,1.5,,
11,310.53,0.12,1.5,,
12,310.53,0.14,1.5,,
13,310.53,0.17,1.5,,
14,310.53,0.19,1.5,,
15,310.53,0.21,1.5,,
16,310.53,0.23,1.5,,
17,310.53,0.26,1.3,,
18,310.53,0.28,1.3,,
19,310.53,0.3,1.3,,
20,321.05,0.1,1.5,,
21,321.05,0.12,1.2,,
22,321.05,0.14,1.0,,
23,321.05,0.17,0.7,,
24,321.05,0.19,0.7,,
25,321.05,0.21,0.9,,
26,321.05,0.23,0.7,,
27,321.05,0.26,0.8,,
28,321.05,0.28,0.78,,
29,321.05,0.3,0.8,,
30,331.58,0.1,0.8,,
31,331.58,0.12,1.2,,
32,331.58,0.14,0.92,,
33,331.58,0.17,0.92,,
34,331.58,0.19,1.2,,
35,331.58,0.21,1.11,,
36,331.58,0.23,1.2,,
37,331.58,0.26,1.2,,
38,331.58,0.28,1.1,,
39,331.58,0.3,1.1,,
40,342.11,0.1,1.9,,
41,342.11,0.12,1.85,,
42,342.11,0.14,1.91,,
43,342.11,0.17,1.9103,,
44,342.11,0.19,1.99,,
45,342.11,0.21,1.4,,
46,342.11,0.23,1.3,,
47,342.11,0.26,1.3,,
48,342.11,0.28,1.5,,
49,342.11,0.3,1.54,,
50,352.63,0.1,2.1,,
51,352.63,0.12,2.13,,
52,352.63,0.14,2.31,2.09,
53,352.63,0.17,2.09,,
54,352.63,0.19,2.15,,
55,352.63,0.21,2.0,,
56,352.63,0.23,2.2,,
57,352.63,0.26,1.9,,
58,352.63,0.28,2.2,,
59,352.63,0.3,2.4,,
60,363.16,0.1,2.0,,
61,363.16,0.12,2.0,,
62,363.16,0.14,2.1,,
