
#  FSUGarnet                            
#      n(fm-3)          e/V(MeV/fm3)        P(MeV/fm3)            cs2
   0.628500000e-11    0.584708922e-08    0.606486381e-14    0.181699775e-05
   0.993057674e-11    0.923911285e-08    0.136164528e-13    0.261888076e-05
   0.156907485e-10    0.145970989e-07    0.305934713e-13    0.368102850e-05
   0.247920735e-10    0.230636686e-07    0.677493452e-13    0.505796818e-05
   0.391725678e-10    0.364407808e-07    0.148187945e-12    0.692629583e-05
   0.618943819e-10    0.575712135e-07    0.322062066e-12    0.945750226e-05
   0.977958487e-10    0.909563225e-07    0.694914331e-12    0.127688971e-04
   0.154521747e-09    0.143724202e-06    0.148557326e-11    0.170629687e-04
   0.244151164e-09    0.227128357e-06    0.314974775e-11    0.226658174e-04
   0.385769589e-09    0.358929246e-06    0.662565737e-11    0.297847356e-04
   0.609532937e-09    0.567155396e-06    0.137550363e-10    0.382424863e-04
   0.963088879e-09    0.896046575e-06    0.280853152e-10    0.486398461e-04
   0.152172283e-08    0.141565969e-05    0.573472542e-10    0.639064792e-04
   0.240438908e-08    0.223691779e-05    0.118020813e-09    0.813787078e-04
   0.379904062e-08    0.353465862e-05    0.229381767e-09    0.880024170e-04
   0.600265145e-08    0.558500770e-05    0.422250609e-09    0.105641324e-03
   0.948445360e-08    0.882622893e-05    0.830902251e-09    0.140879841e-03
   0.149858543e-07    0.139487207e-04    0.160770407e-08    0.161724100e-03
   0.236783096e-07    0.220383511e-04    0.305292246e-08    0.194422424e-03
   0.374127718e-07    0.348150117e-04    0.578083728e-08    0.229363345e-03
   0.591138268e-07    0.550215679e-04    0.108183385e-07    0.269702640e-03
   0.934024492e-07    0.869500552e-04    0.205425602e-07    0.335881731e-03
   0.147579982e-06    0.137401053e-03    0.380883938e-07    0.348701426e-03
   0.233182870e-06    0.217162874e-03    0.673477743e-07    0.396576237e-03
   0.368439202e-06    0.343094211e-03    0.124328450e-06    0.512705503e-03
   0.582150162e-06    0.542136181e-03    0.234728703e-06    0.527868545e-03
   0.919822889e-06    0.857135506e-03    0.388738332e-06    0.544207887e-03
   0.145336067e-05    0.135410553e-02    0.736730472e-06    0.776952316e-03
   0.229637385e-05    0.214042806e-02    0.134422247e-05    0.795816746e-03
   0.362837179e-05    0.338340553e-02    0.242476622e-05    0.933273046e-03
   0.573298719e-05    0.534965478e-02    0.444389111e-05    0.110678641e-02
   0.905837218e-05    0.845117181e-02    0.800633348e-05    0.116625957e-02
   0.143126269e-04    0.133633425e-01    0.139282786e-04    0.127417788e-02
   0.226145807e-04    0.211207521e-01    0.249822086e-04    0.152359571e-02
   0.357320333e-04    0.333939238e-01    0.442114937e-04    0.165358259e-02
   0.564581859e-04    0.527831290e-01    0.795163745e-04    0.189736582e-02
   0.892064196e-04    0.835098517e-01    0.137877552e-03    0.197885898e-02
   0.140950071e-03    0.132052408e+00    0.245131401e-03    0.231087270e-02
   0.222707318e-03    0.208727882e+00    0.396688620e-03    0.146297059e-02
   0.351887369e-03    0.330173055e+00    0.496334966e-03    0.741505009e-03
   0.555997537e-03    0.521856532e+00    0.740981622e-03    0.144039894e-02
   0.878500589e-03    0.825258553e+00    0.105233857e-02    0.772497157e-03
   0.138806961e-02    0.130493984e+01    0.148500453e-02    0.972131827e-03
   0.219321111e-02    0.206272754e+01    0.217648483e-02    0.943184436e-03
   0.346537012e-02    0.326057376e+01    0.353847044e-02    0.129783086e-02
   0.547543737e-02    0.515526260e+01    0.641740794e-02    0.174291709e-02
   0.865143213e-02    0.814817958e+01    0.125152881e-01    0.230080104e-02
   0.136696437e-01    0.128858053e+02    0.250667758e-01    0.297609882e-02
   0.215986389e-01    0.203861855e+02    0.507736507e-01    0.378957103e-02
   0.341268005e-01    0.322511921e+02    0.100697657e+00    0.484166741e-02
   0.828596000e-01    0.786168000e+02    0.243244000e+00    0.769610499e-02
   0.853137120e-01    0.809527134e+02    0.262546390e+00    0.883025844e-02
   0.877678240e-01    0.832891798e+02    0.284551121e+00    0.100404140e-01
   0.902219360e-01    0.856263700e+02    0.309519717e+00    0.113294209e-01
   0.926760480e-01    0.879643007e+02    0.337580558e+00    0.126900658e-01
   0.951301600e-01    0.903030031e+02    0.368920091e+00    0.141211406e-01
   0.975842720e-01    0.926426479e+02    0.403697575e+00    0.156189395e-01
   0.100038384e+00    0.949827192e+02    0.442061156e+00    0.171788521e-01
   0.102492496e+00    0.973242080e+02    0.484170292e+00    0.187995853e-01
   0.104946608e+00    0.996669092e+02    0.530164438e+00    0.204735151e-01
   0.107400720e+00    0.102010890e+03    0.580176274e+00    0.222114605e-01
   0.109854832e+00    0.104355514e+03    0.634333431e+00    0.239893700e-01
   0.112308944e+00    0.106702182e+03    0.692780670e+00    0.258367909e-01
   0.114763056e+00    0.109049022e+03    0.755518569e+00    0.275871008e-01
   0.117217168e+00    0.111397199e+03    0.822253256e+00    0.292743180e-01
   0.119671280e+00    0.113747097e+03    0.893154431e+00    0.310854436e-01
   0.122125392e+00    0.116099827e+03    0.968509498e+00    0.329890241e-01
   0.124579504e+00    0.118452963e+03    0.104844961e+01    0.349565184e-01
   0.127033616e+00    0.120808143e+03    0.113312097e+01    0.369560134e-01
   0.129487728e+00    0.123164680e+03    0.122261038e+01    0.389953837e-01
   0.131941840e+00    0.125522625e+03    0.131699789e+01    0.410762735e-01
   0.134395952e+00    0.127882772e+03    0.141646228e+01    0.432161131e-01
   0.136850064e+00    0.130244358e+03    0.152106476e+01    0.453684381e-01
   0.139304176e+00    0.132608667e+03    0.163089313e+01    0.475488169e-01
   0.141758288e+00    0.134974642e+03    0.174603842e+01    0.497912127e-01
   0.144212400e+00    0.137342641e+03    0.186660517e+01    0.520361556e-01
   0.146666512e+00    0.139712278e+03    0.199261998e+01    0.543418717e-01
   0.149120624e+00    0.142083991e+03    0.212427184e+01    0.566612825e-01
   0.151574736e+00    0.144459310e+03    0.226161987e+01    0.590095268e-01
   0.154028848e+00    0.146835967e+03    0.240474134e+01    0.614225622e-01
   0.156482960e+00    0.149215238e+03    0.255373554e+01    0.638306522e-01
   0.158937072e+00    0.151596425e+03    0.270867464e+01    0.663146340e-01
   0.161391184e+00    0.153979892e+03    0.286968523e+01    0.687812674e-01
   0.163845296e+00    0.156365870e+03    0.303676107e+01    0.712842111e-01
   0.166299408e+00    0.158754448e+03    0.321008818e+01    0.738512314e-01
   0.168753520e+00    0.161145879e+03    0.338976577e+01    0.764047487e-01
   0.171207632e+00    0.163540837e+03    0.357584989e+01    0.790249263e-01
   0.173661744e+00    0.165937286e+03    0.376843517e+01    0.816767535e-01
   0.176115856e+00    0.168337278e+03    0.396761626e+01    0.843304872e-01
   0.178569968e+00    0.170739703e+03    0.417345058e+01    0.870192561e-01
   0.181024080e+00    0.173144441e+03    0.438600144e+01    0.897725306e-01
   0.183478192e+00    0.175552765e+03    0.460549799e+01    0.924973339e-01
   0.185932304e+00    0.177964331e+03    0.483192479e+01    0.953134175e-01
   0.188386416e+00    0.180378159e+03    0.506538899e+01    0.981000493e-01
   0.190840528e+00    0.182796055e+03    0.530596882e+01    0.100931028e+00
   0.193294640e+00    0.185216495e+03    0.555376030e+01    0.103799632e+00
   0.195748752e+00    0.187640515e+03    0.580884169e+01    0.106685957e+00
